Address Space,IP Query,Prefix,Forest,EOP DC,IPAM DC,Region,Title,New Title,Prefix ID
Default,40.107.239.0,40.107.239.0/24,SNA04,CO1,CO1,West US 2,"EOP: NAM-CO1SGC01 - IPv4_Sonar - IPv4_Sonar","EOP: SNA04-CO1SGC01 - IPv4_Sonar - IPv4_Sonar",76638a6e-3307-40f6-ac30-7c712cef6142
Default,40.107.235.0,40.107.235.0/24,SNA04,CY1,CYS01,West Central US,"EOP: NAM-CY1SGC01 - IPv4_Sonar - IPv4_Sonar","EOP: SNA04-CY1SGC01 - IPv4_Sonar - IPv4_Sonar",f4b2f43f-55bb-4c1f-859c-28efa00a42c9
Default,25.155.154.4,25.155.154.0/23,SON01,CO1,CO1,West US 2,"EOP: NAM-CO1Unknown - IPv4_CAP - IPv4_Unknown","EOP: SON01-CO1Unknown - IPv4_CAP - IPv4_Unknown",22e2eb11-ab10-487e-bc67-1901c0645133
Default,2a01:111:f400:ff45::,2a01:111:f400:ff45::/64,SON01,CO1,CO1,West US 2,"EOP: NAM-CO1Unknown - IPv6_Anchor - TBD","EOP: SON01-CO1Unknown - IPv6_Anchor - TBD",95cbbd83-826a-4ce1-a78a-b43ee973e188
Default,25.155.156.4,25.155.156.0/23,SON01,DM3,DM3,Central US,"EOP: NAM-HK1SON01 - IPv4_CAP - GBL-ILO","EOP: SON01-DM3 - IPv4_CAP - GBL-ILO",b0f77e70-46a1-47fa-87e5-755105a4af35
Default,25.155.28.0,25.155.28.0/23,SON01,DM3,DM3,Central US,"EOP: GCC-DM3GCC01 - IPv4_CAP - GBL","EOP: SON01-DM3GCC01 - IPv4_CAP - GBL",ce35cd4d-9e09-4521-94d6-29a7fdd492fe
Default,2a01:111:f400:ff46::,2a01:111:f400:ff46::/64,SON01,DM3,DM3,Central US,"EOP: GCC-DM3GCC01 - IPv6_Anchor - IPV6_HRIGBL","EOP: SON01-DM3GCC01 - IPv6_Anchor - IPV6_HRIGBL",1f4277a5-ab9f-44c4-bbbd-77323aa25b56
Default,2a01:111:e400:fe46::,2a01:111:e400:fe46::/64,SON01,DM3,DM3,Central US,"EOP: NAM-DM3NAM05 - IPv6_CAP - IPV6_GBL","EOP: SON01-DM3NAM05 - IPv6_CAP - IPV6_GBL",116574f6-d8d9-4cec-ab48-b0b58746a0b2
Default,2a01:111:e400:fc51::,2a01:111:e400:fc51::/64,SON01,DM3,DM3,Central US,"EOP: GCC-DM3GCC01 - IPv6_CAP - IPV6_SONCAP","EOP: SON01-DM3GCC01 - IPv6_CAP - IPV6_SONCAP",b0da124c-3f6e-4829-8dc6-9fb0944e55d3
Default,25.155.152.4,25.155.152.0/23,SON01,SN1,SN1,South Central US,"EOP: NAM-SN1NAM04 - IPv4_CAP - GBL-ILO","EOP: SON01-SN1NAM04 - IPv4_CAP - GBL-ILO",76768687-e3ec-45f0-8a9c-a6834bc33451
Default,25.155.24.0,25.155.24.0/23,SON01,SN1,SN1,South Central US,"EOP: NAM-SN1NAM04 - IPv4_CAP - GBL","EOP: SON01-SN1NAM04 - IPv4_CAP - GBL",d94850bb-6c0c-4aa3-8511-6fec0e33d97a
Default,40.94.98.0,40.94.98.0/25,SON02,DB5,DB5,North Europe,"EOP: EUR-HE1SON02 - IPv4_Sonar - IPv4_Sonar","EOP: SON02-DB5 - IPv4_Sonar - IPv4_Sonar",f6b393b3-3012-4893-8987-65e1dc178d0a
Default,21.3.1.6,21.3.1.0/24,SON02,DB5,DB5,North Europe,"EOP: EUR-DB5Unknown - IPv4_CAP - IPv4_Unknown","EOP: SON02-DB5Unknown - IPv4_CAP - IPv4_Unknown",0209d7de-ff2c-497e-ae70-9422c6fc9c95
Default,25.152.244.6,25.152.244.0/23,APAC,KU1,KUL01,APAC Southeast 2,"EOP: APC-KU1FSPROD - IPv4_CAP - IPV4_CAP","EOP: APAC-KU1FSPROD - IPv4_CAP - IPV4_CAP",94afd6ee-8782-4918-a263-a15ff8bac27b
Default,65.55.88.96,65.55.88.96/27,APAC,KU1,KUL01,APAC Southeast 2,"EOP: APC-KU1FSPROD - IPv4_Anchor - IPV4_PUBOB","EOP: APAC-KU1FSPROD - IPv4_Anchor - IPV4_PUBOB",b50e892f-4362-4afc-b072-f3aa75611b62
Default,2a01:111:e400:7fba::,2a01:111:e400:7fba::/64,APAC,KU1,KUL01,APAC Southeast 2,"EOP: APC-KU1FSPROD - IPv6_CAP - IPV6_A_MGMT","EOP: APAC-KU1FSPROD - IPv6_CAP - IPV6_A_MGMT",c96ad1df-1e79-4889-bc01-e33d68c281bd
Default,2a01:111:e400:7eba::,2a01:111:e400:7eba::/64,APAC,KU1,KUL01,APAC Southeast 2,"EOP: APC-KU1FSPROD - IPv6_CAP - IPV6_CAP","EOP: APAC-KU1FSPROD - IPv6_CAP - IPV6_CAP",0c7dbb99-2098-46af-a13d-fcc8b641b46e
Default,25.154.122.0,25.154.122.0/24,APC02,KU1,KUL01,APAC Southeast 2,"EOP: APC-KU1FSPROD - IPv4_CAP - IPV4_A_MGMT","EOP: APC02-KU1FSPROD - IPv4_CAP - IPV4_A_MGMT",eeea67a2-582c-4f8c-aa4a-70069ed8d301
Default,104.47.122.0,104.47.122.0/24,APC02,KU1,KUL01,APAC Southeast 2,"EOP: APC-KU1FSPROD - IPv4_1701 - IPV4_HRI","EOP: APC02-KU1FSPROD - IPv4_1701 - IPV4_HRI",e3a09387-af56-4a67-9259-5d4a3ed06f29
Default,2a01:111:f400:feba::,2a01:111:f400:feba::/64,APC02,KU1,KUL01,APAC Southeast 2,"EOP: APC-KU1FSPROD - IPv6_Anchor - IPV6_HRI","EOP: APC02-KU1FSPROD - IPv6_Anchor - IPV6_HRI",48a4ca2f-ce5e-41ec-b73b-2e9d5a31e210
Default,2a01:111:f400:7eba::,2a01:111:f400:7eba::/64,APC02,KU1,KUL01,APAC Southeast 2,"EOP: APC-KU1FSPROD - IPv6_Anchor - IPV6_PUBOB","EOP: APC02-KU1FSPROD - IPv6_Anchor - IPV6_PUBOB",c8c64898-d260-4a3d-91cb-2e48a2839361
Default,10.174.64.10,10.174.64.0/23,GTM,AM1,AM1,West Europe,"EOP: EUR-AM1FSPROD - IPv4_CAP - CORE","EOP: GTM-AM1FSPROD - IPv4_CAP - CORE",beb84701-963c-4b8a-b462-7e643e93f9d3
Default,10.173.162.15,10.173.162.0/23,GTM,BL2,BL2,East US,"EOP: NAM-BL2FSPROD - IPv4_ILO - IPv4_ILO","EOP: GTM-BL2FSPROD - IPv4_ILO - IPv4_ILO",2ba063ba-bd52-4408-937b-e9f2f37c1d20
Default,10.58.52.10,10.58.52.0/23,GTM,BN1,BN1,East US 2,"EOP: NAM-BN1AFSPROD - IPv4_CAP - CORE","EOP: GTM-BN1AFSPROD - IPv4_CAP - CORE",611a9369-6607-40db-b6e6-506c7baa94a8
Default,10.111.201.33,10.111.201.0/24,GTM-FSDF,SN2,SN2,South Central US,"EOP: NAM-SN2Unknown - IPv4_CAP - IPv4_CAP","EOP: GTM-FSDF-SN2Unknown - IPv4_CAP - IPv4_CAP",a407979a-5488-4f5c-bacf-17f6a12bc07b
Default,25.154.166.8,25.154.166.0/24,GTM-SYNCGROUP01,BL2,BL2,East US,"EOP: NAM-BL2NAM02 - IPv4_CAP - IPV4_A_MGMTILO","EOP: GTM-SYNCGROUP01-BL2NAM02 - IPv4_CAP - IPV4_A_MGMTILO",ebc43736-c119-4f72-b6d0-4cc14201f2ee
Default,25.152.76.0,25.152.76.0/23,GTM-SYNCGROUP01,BL2,BL2,East US,"EOP: NAM-BL2NAM02 - IPv4_CAP - IPV4_CAP","EOP: GTM-SYNCGROUP01-BL2NAM02 - IPv4_CAP - IPV4_CAP",ce0a9109-64de-4479-8e61-cecd66ee4168
